Documentation: https://diysolarforum.com/resources/solis-grid-tied-inverters-2018-rs485-modbus-communication-protocol.272/download

Registers may vary depending on the model of the inverter. THe following is for a Solis single-phase, 3-MPPT 7.6kW Solis 4G Series B2 inverter.


Register: 02999         Value: 00000178 (0x00b2)              - PRODUCT MODEL
Register: 03000         Value: 00000024 (0x0018)              - DSP SOFTWARE VERSION (HEX)
Register: 03001         Value: 00000053 (0x0035)              - LCD SOFTWARE (HEX)
Register: 03002         Value: 00000000 (0x0000)              - AC OUTPUT TYPE (0=SINGLE, 1=3P4WIRES, 2=3P3WIRES, 3=3P4WIRES OR 3P3WIRES BOTH AVAILABLE)
Register: 03003         Value: 00000003 (0x0003)              - DC INPUT TYPE (0=1 DC INPUT, 1 2=DC INPUT, 2=3 DC INPUT, ETC.)
Register: 03004         Value: 00000000 (0x0000)              - AC POWER (1 W)
Register: 03005         Value: 00001750 (0x06d6)              - AC POWER (1 W)
Register: 03006         Value: 00000000 (0x0000)              - DC POWER (1 W)
Register: 03007         Value: 00001855 (0x073f)              - DC POWER (1 W)
Register: 03008         Value: 00000000 (0x0000)              - TOTAL YIELD (1 kWh)
Register: 03009         Value: 00033528 (0x82f8)              - TOTAL YIELD (1 kWh)
Register: 03010         Value: 00000000 (0x0000)              - THIS MONTH YIELD (1 kWh)
Register: 03011         Value: 00000646 (0x0286)              - THIS MONTH YIELD (1 kWh)
Register: 03012         Value: 00000000 (0x0000)              - PREVIOUS MONTH YIELD (1 kWh)
Register: 03013         Value: 00000593 (0x0251)              - PREVIOUS MONTH YIELD (1 kWh)
Register: 03014         Value: 00000489 (0x01e9)              - DAILY YIELD (1 kWh)
Register: 03015         Value: 00000034 (0x0022)              - DAILY YIELD (1 kWh)
Register: 03016         Value: 00000000 (0x0000)              - ANNUAL YIELD (1 kWh)
Register: 03017         Value: 00001588 (0x0634)              - ANNUAL YIELD (1 kWh)
Register: 03018         Value: 00000000 (0x0000)              - PREVIOUS ANNUAL YIELD (1 kWh)
Register: 03019         Value: 00010747 (0x29fb)              - PREVIOUS ANNUAL YIELD (1 kWh)
Register: 03020         Value: 00000000 (0x0000)              - RESERVED
